title,alignment,agree,disagree
AARP, Center,1341,2162
ABC News, Lean Left,10874,8008
Accuracy in Media , Right,702,414
ACLU, Lean Left,1176,1507
Al Cardenas, Right,339,212
Al Jazeera, Center,3065,4653
AllSides, Mixed,3127,1198
AllSides Community, Mixed,2026,1205
Allysia Finley (Wall Street Journal), Right,382,414
AlterNet, Left,1973,691
American Conservative Union, Right,554,307
American Enterprise Institute, Lean Right,1413,727
American Spectator, Right,5588,2360
American Thinker, Right,1261,701
Americans for Democratic Action, Left,452,204
Americans for Tax Reform, Right,488,357
Andrew Napolitano, Right,593,427
Andrew Sullivan, Lean Right,20,14
Andy Ngo, Center,1,1
Ann Coulter, Right,1015,259
Annafi Wahed, Lean Left,208,173
AP, Center,769,621
Aquinas College Saint, Left,731,450
Arkadi Gerney, Lean Left,188,158
Arkansas Democrat-Gazette, Left,785,587
Associated Press, Center,5931,4171
Association for Psychological Science, Center,625,495
Atlanta Journal-Constitution, Lean Left,691,654
Atlas Network, Right,250,165
AtlasOne, Lean Right,197,230
Austin American-Statesman, Lean Left,626,475
Axios, Center,1027,1161
Barnstable Patriot, Center,404,483
BBC News, Center,9036,8478
Bearing Drift, Right,495,424
Ben Sargent, Left,155,183
Ben Shapiro, Right,947,580
Ben Stein, Lean Right,456,341
Beth Ballentine, Center,303,345
Billy Binion, Center,204,150
Bloomberg, Center,5020,5768
Blue Virginia, Left,607,439
Bob Gorrell, Right,190,159
Boing Boing, Left,725,466
Boston Herald, Lean Right,262,219
Boston Herald Editorial, Lean Right,136,103
Bowling Green Daily News, Lean Left,476,499
Breitbart News, Right,13818,7337
Brent Bozell, Right,232,194
Bret Stephens, Lean Right,183,239
Brookings Institution, Center,2051,1353
Business Insider, Center,1688,1855
Bustle, Lean Left,635,648
BuzzFeed News, Lean Left,3814,5327
C-SPAN, Center,2585,770
CalMatters, Center,543,427
CalWatchdog, Center,421,453
Care 2, Left,478,492
Carnegie Endowment for International Peace, Center,368,277
Carrie Lukas, Right,183,124
Cathy Young, Lean Right,4,5
Cato Institute (blog), Lean Right,826,1260
CBN, Right,5747,3024
CBS News, Lean Left,5238,4447
Center - Major Media Sources, Center,518,456
Center For American Progress, Lean Left,829,1191
Center for Media & Democracy PR Watch, Lean Left,211,200
Center for Public Integrity, Lean Left,545,619
Center for Strategic and Budgetary Assessments, Lean Right,340,408
Center on Budget and Policy Priorities, Left,644,575
Centre View, Lean Left,440,502
Chan Lowe, Left,146,176
Charles Blow, Lean Left,178,183
Charles Krauthammer, Lean Right,494,486
Chicago Sun-Times, Lean Left,599,594
Chicago Tribune, Center,1550,2778
Children’s Defense Fund, Left,170,192
Chip Bok, Right,145,136
Chris Britt, Center,142,77
Chris Ruddy, Right,139,205
Christian Science Monitor, Center,7822,10719
Christiane Amanpour, Lean Left,272,369
Christopher Buskirk, Lean Right,32,36
Chuck Asay, Right,175,143
City Journal, Right,175,158
CivilPolitics.org, Center,201,190
Clay Bennett, Left,115,89
CNBC, Center,1419,3700
CNN (Web News), Lean Left,25152,26041
CNN - Editorial, Left,5609,1774
CNS News, Right,767,628
CNSNews.com, Right,716,605
Commentary Magazine, Right,105,101
Conservative HQ, Right,685,281
Cook Report, Center,787,467
Council on Foreign Relations, Left,91,135
Countable, Center,7,6
Counter Currents, Lean Left,280,188
Counterpointing, Mixed,314,282
CrowdPAC, Center,325,340
CU Independent, Center,271,321
Current Affairs, Left,165,59
Daily Beast, Left,5539,3776
Daily Cardinal, Center,326,347
Daily Kos, Left,4636,1768
Daily Mail, Right,1425,1189
Daily Northwestern, Lean Left,295,288
Daily Press, Lean Right,268,356
Daily Progress, Center,335,328
Daily Targum, Lean Left,180,319
Damon Linker, Lean Left,194,215
Dan Lucas, Right,55,46
Dan Wasserman, Left,46,17
Dana Milbank, Center,155,235
Dana Summers, Lean Right,79,76
David Brooks, Lean Right,206,250
David Holmes, Lean Left,58,48
David Ignatius, Center,90,103
David Leonhardt, Lean Left,54,40
Debra Saunders, Right,117,96
Defense One, Center,124,118
Democracy Now, Left,4010,1626
Deseret News, Lean Right,992,1576
Dick Locher, Right,16,19
Dick Morris, Lean Right,134,164
Diplomatic Courier, Center,267,203
Drew Litton, Center,28,40
Drew Sheneman, Left,44,34
Drudge Report, Lean Right,1780,1091
Duke Chronicle, Center,317,305
E J Dionne, Left,423,353
Economic Policy Institute, Left,117,136
Ed Rogers, Right,89,44
EdVotes.org, Left,66,30
Edward Morrissey, Right,117,116
Eli Parser, Left,5,4
Environmental Defense Fund, Lean Left,215,140
Eric Allie, Right,62,69
Erik Wemple, Center,125,189
Esquire, Left,775,431
Estes Park Trail Gazette, Center,172,244
Eugene Robinson, Left,156,111
Eurek Alert, Center,265,298
Ezra Klein, Left,214,166
Fact Checker Blog, Center,636,523
FactCheck.org, Center,5027,3564
FAIR, Lean Left,80,96
Fair.org, Center,393,391
Falls Church News - Press, Left,319,389
Family Research Council, Lean Right,252,421
Fareed Zakaria, Center,155,302
