date,id,predicted score,actual score
02 06 2020 06:04:27,whale-8fcd14c28f625a75728f3020e02f7e52990eda9ceb037cbfaaaec6bf183c2,-1,-1.0
30 05 2020 16:06:26,mantis-8bd3f3fe2dd8cf4e82c33638707fff9b53519402d53e9bdca5172cb09347ee,2,-1.0
02 06 2020 19:55:49,red-deer-1b3efe47382fd39012a6cb4e23c6e4388bea9447e2422c318fe216fefed072e6,-1,-0.0
01 06 2020 15:09:49,giant-panda-707ccd3fa83e6f52723c9b769cf51983e1384daea9137c51e6da97bd8ef2,5,1.0
02 06 2020 04:22:51,butterfly-187b35592cbcc0d79cefab253133466396ffdc6799e4de1b3a6aaf8bf11c131f,-4,-2.0
02 06 2020 20:03:26,red-deer-1b3efe47382fd39012a6cb4e23c6e4388bea9447e2422c318fe216fefed072e6,-1,-0.0
01 06 2020 15:30:08,chinchilla-81c099111ae9e529d643bba5bc9439423b56ea6299074a81f35dff325853e,-5,-0.0
02 06 2020 04:24:15,butterfly-187b35592cbcc0d79cefab253133466396ffdc6799e4de1b3a6aaf8bf11c131f,-4,-2.0
01 06 2020 10:09:17,locust-c2aff8cd0c48d7ad35c9d4f4d956d77fed4851dce3ef2d2a3ca114ffb8d71,4,0.0
31 05 2020 12:33:39,eagle-848c27680ceeb864b34c0952b60187b5c84bcb392efefdcbdd8225c7ca9ccf,3,-2.0
01 06 2020 15:14:20,water-buffalo-2b122654f909374d39aae55ad5395fbd574833adc97ad2b3696dd596c7cc8b,-3,-3.0
31 05 2020 12:33:12,duck-628e187f0c61276f7881e57841bfdb2255694aef97393fe4fbbf445b6f6a42,2,0.0
02 06 2020 00:45:25,dragonfly-238537241686a3c9a4961ff241ae03a76e19471e62bff26152c68b0feec2631,0,-1.0
31 05 2020 12:53:53,kingfisher-671fcb23557e5316f87df55ce99e19e3a4a7b49fe3bb4e4bce58e08ef47,-3,0.0
31 05 2020 12:51:19,kingfisher-671fcb23557e5316f87df55ce99e19e3a4a7b49fe3bb4e4bce58e08ef47,-3,0.0
01 06 2020 14:53:24,horse-59545e8ab4401db1429e77cc3260f9a16488d955d86b7ed93b83506047b68c,-4,-0.0
01 06 2020 14:03:53,yak-a11d02e9ce33ecdb7ac0d811d81d6f8a45e0617889bd81e5cdb1c852cdf70,-1,-0.0
02 06 2020 04:21:39,butterfly-187b35592cbcc0d79cefab253133466396ffdc6799e4de1b3a6aaf8bf11c131f,-4,-2.0
31 05 2020 12:01:13,fox-b9246c4bdd6d43fcbcdb472da19b6d5f6e430a459b1beb4043464d2f5213,3,-1.0
31 05 2020 12:01:09,eagle-848c27680ceeb864b34c0952b60187b5c84bcb392efefdcbdd8225c7ca9ccf,3,-2.0
01 06 2020 06:41:58,rail-a295f7e3adb8944c89fd4895a910f03df6ccbfbb33f34feec9d2db4313948d,0,-0.0
01 06 2020 15:12:40,giant-panda-707ccd3fa83e6f52723c9b769cf51983e1384daea9137c51e6da97bd8ef2,5,1.0
01 06 2020 09:39:09,goose-94ae433ea732db7a33abf69379abbe526bbb964f842478bf5beec670861889,-1,-1.0
01 06 2020 12:09:13,polar-bear-3735bd7fdd4673a79978e5bffed049d93de225cf807d8abb31539cbcc8247b38,2,0.0
31 05 2020 12:34:43,crocodile-a9b494d54339f11be323d93cc5e1521bfe25af7ca2958ebcc1c2b2c546eafca1,-5,0.0
